Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,7.8684
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,15354612541.5059
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28284089
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,4.567
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10428102872.2706
Albania,ALB,"Population, total",SP.POP.TOTL,2913021
Algeria,DZA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,118.6168
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,161276864361.482
Algeria,DZA,"Population, total",SP.POP.TOTL,36188236
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0001
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,687384732.824428
American Samoa,ASM,"Population, total",SP.POP.TOTL,55228
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2927794279.37554
Andorra,AND,"Population, total",SP.POP.TOTL,80706
Angola,AGO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,22.7399
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,82482120582.925
Angola,AGO,"Population, total",SP.POP.TOTL,23294825
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.2789
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1376672104.84443
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85320
Argentina,ARG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,177.3162
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,552738161802.463
